pl_name,hostname,discoverymethod,disc_year,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_teff,st_mass,sy_dist
KOI-94 b,KOI-94,Transit,2013,10.5,1.71,3.743208,1486.0,6182.0,1.277,477.052
WASP-103 b,WASP-103,Transit,2014,473.547,17.127,0.925542,2508.0,6110.0,1.22,375.647
Kepler-51 b,Kepler-51,Transit,2012,2.1,7.1,45.154,543.0,6018.0,1.04,783.831
Kepler-51 d,Kepler-51,Transit,2014,7.6,9.7,130.194,381.0,6018.0,1.04,783.831
Kepler-51 c,Kepler-51,Transit,2012,4.0,9.0,85.312,439.0,6018.0,1.04,783.831
CoRoT-7 c,CoRoT-7,Radial Velocity,2009,8.4,,3.698,,5256.0,0.899,159.906
WASP-96 b,WASP-96,Transit,2014,152.55,13.45,3.4252602,1285.0,5540.0,1.06,352.464
HAT-P-12 b,HAT-P-12,Transit,2009,67.059,10.749,3.2130598,963.0,4650.0,0.733,142.751
HAT-P-13 b,HAT-P-13,Transit,2009,270.462,14.258,2.91625,,,,246.81
HAT-P-13 c,HAT-P-13,Radial Velocity,2009,4538.421,,446.27,,,,246.81
HAT-P-1 b,HAT-P-1,Transit,2006,166.86075,14.784671,4.46529976,1322.0,5980.0,1.151,158.979
OGLE-2012-BLG-0026L b,OGLE-2012-BLG-0026L,Microlensing,2012,46.1,,,,,1.06,4019.0
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,Microlensing,2012,270.0,,,,,1.06,4019.0
HD 17674 b,HD 17674,Radial Velocity,2017,276.5121,,623.8,,5904.0,0.98,44.4264
HD 42012 b,HD 42012,Radial Velocity,2017,508.528,,857.5,,5405.0,0.83,36.7984
Kepler-237 b,Kepler-237,Transit,2014,,1.41,4.715106,,4861.0,,657.822
KMT-2023-BLG-0119L b,KMT-2023-BLG-0119L,Microlensing,2025,83.7,,,,,0.71,5410.0
Kepler-245 e,Kepler-245,Transit,2016,,1.75,3.219821056,,5174.0,0.86,861.527
Kepler-200 c,Kepler-200,Transit,2014,,1.59,10.222157,,5678.0,,665.912
TIC 139702105 b,TIC 139702105,Transit,2026,,2.45316949,6.83601903383,,5742.35,,91.7884
HD 95089 b,HD 95089,Radial Velocity,2009,400.4658,,464.4,,4918.0,1.54,136.957
Kepler-927 b,Kepler-927,Transit,2016,,1.72,9.1149903,,5743.0,0.99,831.685
Kepler-580 b,Kepler-580,Transit,2016,,2.57,8.222419656,,4298.0,0.67,323.899
GJ 3293 b,GJ 3293,Radial Velocity,2015,23.54,,30.5987,,3466.0,0.42,20.1903
TOI-6707 b,TOI-6707,Transit,2026,,5.72673066,3.83479363758,,6289.49,,641.467
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,Microlensing,2022,1090.15143601,,,,,0.92,4400.0
HD 285507 b,HD 285507,Radial Velocity,2013,311.4734,,6.0881,,4503.0,0.82,45.0293
TOI-880.02,TOI-880,Transit,2024,,2.19,2.57571,1085.0,5050.0,0.87,60.6679
KELT-4 A b,KELT-4 A,Transit,2016,286.68266,19.044091,2.9895932,1823.0,6206.0,1.201,218.05
